Tmean,Tsd,Tsd_short,CTmin,CTmax,Topt,Inc,Sigma,Scale,Tpers,Fec,Dens,BRate,Rep,Tmax,Tmin,CTrange,CTmax_sd,CTmin_sd
18,0,2.5,-1.690067,38.499572,24.276137,14.592943,7.501128,0.57786,43180,1.524605,121,4.6,4,20.5,15.5,40.189639,1.4719606718746,-0.790151766606281
18,0,2.5,6.924845,43.024941,22.912675,20.634759,4.618571,0.649497,46141,1.524605,112,3.83,4,20.5,15.5,36.100096,2.59236456476564,0.545955153576212
18,0,2.5,3.828821,31.831073,25.173467,6.830563,6.16605,0.76097,99374,1.524605,132,6.02,4,20.5,15.5,28.002252,-0.17904551996082,0.0657855254417537
18,0,2.5,9.142467,26.712086,23.178075,3.625821,4.054612,1.374581,47833,1.524605,354,14.6,4,20.5,15.5,17.569619,-1.44641906728009,0.889891354032925
18,0,2.5,4.619765,31.308993,25.430983,6.030714,6.011953,0.644456,65889,1.524605,68,3,4,20.5,15.5,26.689228,-0.308303590275209,0.1884548866467
18,0,2.5,-0.123608,36.224819,24.844639,11.675824,7.212838,0.596786,53826,1.524605,111,3.59,4,20.5,15.5,36.348427,0.908770771434304,-0.54720596401629
18,0,2.5,-2.418722,31.236838,26.315037,5.049664,8.30062,0.634222,59558,1.524605,135,5.04,4,20.5,15.5,33.65556,-0.326167933026387,-0.903160580616868
18,0,2.5,6.516489,33.123122,26.245669,7.056121,5.699374,0.927345,98336,1.524605,193,7.7,4,20.5,15.5,26.606633,0.140843693362113,0.482622263176631
18,0,2.5,4.495934,35.938094,24.886594,11.338605,5.890462,0.711696,25548,1.524605,119,4.83,4,20.5,15.5,31.44216,0.837782569988371,0.169249646241096
18,0,2.5,7.197684,28.073527,24.136635,4.039168,4.893331,0.989325,99601,1.524605,265,10.65,4,20.5,15.5,20.875843,-1.10934958270514,0.588270394404635
18,0,2.5,0.155884,38.478234,24.821164,14.011864,7.125316,0.567605,23053,1.524605,73,3,4,20.5,15.5,38.32235,1.46667774836792,-0.503858893804122
18,0,2.5,2.808833,29.954477,23.121217,7.01078,5.86785,0.723509,90513,1.524605,248,8.1,4,20.5,15.5,27.145644,-0.643658563401867,-0.0924068072603217
18,0,2.5,0.180657,30.396315,25.676031,4.842912,7.365114,0.803498,31161,1.524605,198,8.75,4,20.5,15.5,30.215658,-0.534267038594233,-0.500016791095043
18,0,2.5,10.551237,32.149056,24.036192,8.323626,3.89554,0.760298,22728,1.524605,60,1.58,4,20.5,15.5,21.597819,-0.100318372832447,1.10838079953689
18,0,2.5,-2.200663,30.865871,21.473703,9.636165,6.839061,0.755299,26821,1.524605,268,11.41,4,20.5,15.5,33.066534,-0.41801301150156,-0.869341298550136
18,0,2.5,-1.096015,28.258604,23.526388,4.855154,7.11293,0.737812,59046,1.524605,241,10.01,4,20.5,15.5,29.354619,-1.06352768590852,-0.698018847761811
18,0,2.5,10.029385,36.472416,23.709099,13.094892,3.951802,0.773046,73395,1.524605,98,3.5,4,20.5,15.5,26.443031,0.970071549927318,1.02744554813664
18,0,2.5,2.040969,33.121984,25.749257,7.564262,6.84886,0.744752,78506,1.524605,184,6.2,4,20.5,15.5,31.081015,0.140561944043966,-0.211496637099444
18,0,2.5,1.141114,33.945107,23.410316,10.808472,6.433137,0.734391,36848,1.524605,197,8.21,4,20.5,15.5,32.803993,0.344353107489015,-0.351057260894651
18,0,2.5,9.261271,26.809777,23.019025,3.889231,3.974346,1.29514,86847,1.524605,370,14.81,4,20.5,15.5,17.548506,-1.42223244808939,0.908316945210799
18,0,2.5,-3.091262,30.195545,25.895867,4.411378,8.373814,0.575945,65678,1.524605,133,5.01,4,20.5,15.5,33.286807,-0.583974253536426,-1.00746638758269
18,0,2.5,-0.831796,32.576478,27.088041,5.63102,8.065494,0.670064,5306,1.524605,130,5.56,4,20.5,15.5,33.408274,0.00550399716815962,-0.657040502963432
18,0,2.5,12.041746,29.218966,25.562411,3.751548,3.905856,1.365941,59502,1.524605,149,6.99,4,20.5,15.5,17.17722,-0.825758495509985,1.3395473383819
18,0,2.5,3.007913,29.949165,22.873157,7.259834,5.73868,0.891817,87184,1.524605,323,12.81,4,20.5,15.5,26.941252,-0.644973723663723,-0.0615310228448882
18,0,2.5,6.337097,40.9159,24.09981,17.252952,5.1313,0.646452,52656,1.524605,117,3.97,4,20.5,15.5,34.578803,2.07020211863875,0.454799936886428
18,0,2.5,5.906034,32.911732,24.720354,8.40418,5.435088,0.745026,83458,1.524605,183,6.73,4,20.5,15.5,27.005698,0.0885071482277293,0.387945364566406
18,0,2.5,4.808585,39.570764,26.785855,13.117045,6.348803,0.692871,81821,1.524605,90,2.78,4,20.5,15.5,34.762179,1.73716947293231,0.217739423583218
18,0,2.5,3.792973,28.209906,27.367301,0.864495,6.810162,0.970908,86724,1.524605,213,8.74,4,20.5,15.5,24.416933,-1.07558447702898,0.0602257749910582
18,0,2.5,-5.726612,36.682593,21.97783,15.086776,8.003271,0.529145,41187,1.524605,135,5.38,4,20.5,15.5,42.409205,1.02210777702751,-1.41618900391388
18,0,2.5,-9.235091,39.531227,24.396287,15.528127,9.715447,0.482477,82045,1.524605,65,2.41,4,20.5,15.5,48.766318,1.72738078858122,-1.96032724597775
18,0,2.5,-2.333215,30.693635,24.745177,6.102992,7.822417,0.61354,94865,1.524605,125,5.45,4,20.5,15.5,33.02685,-0.460655696528124,-0.889899099312818
18,0,2.5,-16.498557,30.217001,23.155074,7.245388,11.455157,0.515547,85909,1.524605,148,5.66,4,20.5,15.5,46.715558,-0.578662115249831,-3.08683523434841
18,0,2.5,9.180815,31.41065,28.327716,3.163024,5.531165,1.100965,75535,1.524605,96,4.38,4,20.5,15.5,22.229835,-0.283135057379963,0.895838835350803
18,0,2.5,7.38056,30.60305,25.789483,4.938617,5.317977,0.892513,52496,1.524605,162,5.19,4,20.5,15.5,23.22249,-0.483082991769139,0.616633062431342
18,0,2.5,9.280689,40.044188,22.286782,18.218722,3.757205,0.640474,84953,1.524605,31,1.17,4,20.5,15.5,30.763499,1.85438115060723,0.911328528402375
18,0,2.5,-1.766086,36.63859,24.951347,11.990864,7.718143,0.590396,83158,1.524605,123,4.77,4,20.5,15.5,38.404676,1.01121338753156,-0.801941731723204
18,0,2.5,9.692256,34.206661,19.882365,14.696423,2.943723,0.723522,51123,1.524605,227,8.05,4,20.5,15.5,24.514405,0.409109400246848,0.975159420327765
18,0,2.5,9.820098,35.326995,23.294697,12.344883,3.892548,0.715634,51790,1.524605,76,3.23,4,20.5,15.5,25.506897,0.686484919224018,0.994986736136675
18,0,2.5,0.987699,32.287419,21.110847,11.466926,5.813183,0.650438,64584,1.524605,184,7.31,4,20.5,15.5,31.29972,-0.0660620627211434,-0.374850753290139
18,0,2.5,-6.060898,31.650833,20.858921,11.072274,7.776608,0.486666,14712,1.524605,70,3.49,4,20.5,15.5,37.711731,-0.223669858363872,-1.46803420418059
18,0,2.5,6.487128,28.754525,24.627515,4.234225,5.240402,1.039846,99999,0.82647,262,10.39,5,20.5,15.5,22.267397,-0.940746136168286,0.478068596780099
18,0,2.5,9.80305,29.73539,23.933474,5.952642,4.082003,1.045985,99999,0.82647,212,8.69,5,20.5,15.5,19.93234,-0.697900753968387,0.992342721807188
18,0,2.5,2.688432,29.650736,26.639432,3.089534,6.918975,0.797165,99999,0.82647,136,5.55,5,20.5,15.5,26.962304,-0.718859635144441,-0.111080080916151
18,0,2.5,7.604059,32.157029,25.095721,7.244752,5.052999,0.957244,99999,0.82647,221,8.45,5,20.5,15.5,24.55297,-0.0983443945252596,0.651296046865062
18,0,2.5,-3.689027,37.123493,21.917673,15.600849,7.397274,0.529071,99999,0.82647,106,4.73,5,20.5,15.5,40.81252,1.13126706909312,-1.1001751643111
18,0,2.5,-0.918097,31.26894,26.326104,5.071245,7.870316,0.70216,73816,0.82647,132,5.35,5,20.5,15.5,32.187037,-0.318220027392705,-0.6704251275909
18,0,2.5,10.527499,28.27006,24.189301,4.186771,3.946627,1.212404,82973,0.82647,269,10.51,5,20.5,15.5,17.742561,-1.06069137642813,1.10469921740683
18,0,2.5,-2.807364,27.935322,21.251678,6.857278,6.950186,0.690908,35205,0.82647,258,10.13,5,20.5,15.5,30.742686,-1.1435667747213,-0.9634359804902
18,0,2.5,13.36341,27.751873,22.478808,5.410053,2.63326,1.505012,66297,0.82647,291,11.39,5,20.5,15.5,14.388463,-1.18898560658827,1.54452730991917
18,0,2.5,8.148572,36.511454,21.349453,15.555891,3.813476,0.619405,19205,0.82647,125,4.93,5,20.5,15.5,28.362882,0.979736690420984,0.735745845937801
18,0,2.5,6.447971,36.692644,23.040772,14.006532,4.793335,0.795503,76658,0.82647,205,7.61,5,20.5,15.5,30.244673,1.02459623256063,0.471995645753601
18,0,2.5,3.866115,36.216051,24.468577,12.05266,5.951648,0.800136,64421,0.82647,181,8.54,5,20.5,15.5,32.349936,0.906599964737024,0.0715695394260273
18,0,2.5,-7.268729,34.663251,21.925269,13.0689,8.433574,0.539434,53502,0.82647,131,5.77,5,20.5,15.5,41.93198,0.522153267709397,-1.65535954859629
18,0,2.5,6.276061,31.917395,28.070084,3.94726,6.295866,0.911192,59136,0.82647,107,4.12,5,20.5,15.5,25.641334,-0.157673670539891,0.445333720402701
18,0,2.5,1.95564,36.52518,27.306431,9.458241,7.323347,0.635406,68763,0.82647,53,2.52,5,20.5,15.5,34.56954,0.983135013040381,-0.224730511965751
18,0,2.5,10.260729,33.139564,25.316528,8.026269,4.349326,0.919334,14656,0.82647,112,4.83,5,20.5,15.5,22.878835,0.144914451085276,1.06332523203158
18,0,2.5,0.953456,28.054469,24.685817,3.456165,6.855814,0.745307,21968,0.82647,189,7.42,5,20.5,15.5,27.101013,-1.114068017244,-0.380161580524104
18,0,2.5,-0.566037,26.752341,23.150545,3.695365,6.851256,0.884563,21498,0.82647,403,14.34,5,20.5,15.5,27.318378,-1.43645261842071,-0.615823315950868
18,0,2.5,9.963909,32.77075,23.617251,9.391296,3.944183,0.804546,73656,0.82647,90,4.07,5,20.5,15.5,22.806841,0.0536024185520793,1.0172907216328
18,0,2.5,7.071616,31.449109,25.440384,6.164825,5.306377,0.919669,45994,0.82647,193,7.3,5,20.5,15.5,24.377493,-0.273613267374177,0.568718212419077
