Family,Species,Sample.Size,Elev_up,Elev_low,Elev_mid,RS,W_length,B_length,Weight,CTmax,CTmin,TTrange,STmax,STmin,STR,STmean,Location,DTmax,DTmin,DTmean,DTR,Group
Erebidae,CA_HER17-2,5,1959,903,1431,1056,10.442,9.874,0.00634,40.5,2.95,37.55,22.76,13.65,9.11,18.73,Malaysia,21.41275559,15.45379091,18.18153575,5.958964672,M2
Lasiocampidae,CA_LAS02,7,1959,903,1431,1056,25.41571429,20.40571429,0.103685714,43.4,4.7,38.7,22.76,13.65,9.11,18.73,Malaysia,21.41275559,15.45379091,18.18153575,5.958964672,M2
Geometridae,CA_GEO55,12,1800,140,970,1660,25.73416667,19.57083333,0.052628333,44.3,3.075,41.225,23.72,14.55,9.17,19.64,Malaysia,24.03901202,19.30302163,21.27530494,4.735990387,M1
Erebidae,CA_LIT12-2,6,1494,470,982,1024,10.26833333,6.721666667,0.005106667,38.9,-0.9,39.8,23.87,14.69,9.18,19.78,Malaysia,23.98988585,19.27958399,21.23991681,4.710301851,M1
Erebidae,CA_LIT52,14,1494,470,982,1024,6.839285714,5.691538462,0.001237857,44.18571429,-2.38,46.56571429,23.87,14.69,9.18,19.78,Malaysia,23.98988585,19.27958399,21.23991681,4.710301851,M1
Geometridae,CA_GEO80-2,3,903,902,902.5,1,19.74333333,14.2,0.0147,42.3,2.7,39.6,22.9,13.76,9.13,18.85,Malaysia,24.31534674,19.43485833,21.47436317,4.880488404,M1
Geometridae,CA_GEO85-3,18,1956,509,1232.5,1447,18.74277778,15.10111111,0.024836667,41.6,3.933333333,37.66666667,23.87,14.62,9.25,19.73,Malaysia,22.85715938,17.28181088,19.60359268,5.575348499,M2
Erebidae,CA_HER14,15,1956,509,1232.5,1447,12.322,11.362,0.010975333,42.51428571,5.085714286,37.42857143,23.87,14.62,9.25,19.73,Malaysia,22.85715938,17.28181088,19.60359268,5.575348499,M2
Erebidae,CA_HER14-2,13,1956,509,1232.5,1447,12.47181818,10.56769231,0.009972308,41.3,4,37.3,23.87,14.62,9.25,19.73,Malaysia,22.85715938,17.28181088,19.60359268,5.575348499,M2
Erebidae,CA_HER15,25,1956,509,1232.5,1447,11.1092,10.0036,0.0084772,41.23333333,5.633333333,35.6,23.87,14.62,9.25,19.73,Malaysia,22.85715938,17.28181088,19.60359268,5.575348499,M2
Erebidae,CA_LYM-Euproctis-09,3,1956,509,1232.5,1447,8.863333333,6.57,0.00313,43.4,2.3,41.1,23.87,14.62,9.25,19.73,Malaysia,22.85715938,17.28181088,19.60359268,5.575348499,M2
Erebidae,CA_HER07,11,796,470,633,326,9.161818182,8.209090909,0.003500909,42.63333333,-1.9,44.53333333,27.5,18.37,9.13,23.41,Malaysia,25.41863867,19.96122855,22.26912158,5.457410118,M1
Erebidae,CA_LYM15,5,796,470,633,326,16.636,12.526,0.02341,41.8,1.9,39.9,27.5,18.37,9.13,23.41,Malaysia,25.41863867,19.96122855,22.26912158,5.457410118,M1
Erebidae,CA_HER12,5,1959,470,1214.5,1489,12.046,10.642,0.00676,38.45,-1.8,40.25,23.98,14.74,9.24,19.85,Malaysia,22.93887324,17.42987055,19.72385469,5.509002688,M2
Erebidae,CA_LIT33,25,1959,470,1214.5,1489,8.589583333,5.871666667,0.0023376,36.4875,-1.5,37.9875,23.98,14.74,9.24,19.85,Malaysia,22.93887324,17.42987055,19.72385469,5.509002688,M2
Erebidae,CA_LYM19,10,1959,470,1214.5,1489,20.482,18.828,0.07502,41.7,4.1,37.6,23.98,14.74,9.24,19.85,Malaysia,22.93887324,17.42987055,19.72385469,5.509002688,M2
Erebidae,CA_LIT08,22,1800,903,1351.5,897,12.33454545,8.805909091,0.009044091,42.34,2.216666667,40.12333333,23.11,13.85,9.26,18.97,Malaysia,22.0523093,16.2078659,18.76184664,5.844443403,M2
Erebidae,CA_LIT85,18,1800,903,1351.5,897,15.59666667,11.11944444,0.012413333,38.4,2.475,35.925,23.11,13.85,9.26,18.97,Malaysia,22.0523093,16.2078659,18.76184664,5.844443403,M2
Erebidae,CA_LIT38,13,1956,796,1376,1160,8.967692308,7.449166667,0.003503077,42.9,0.35,42.55,22.98,13.72,9.26,18.83,Malaysia,21.85521413,15.97547801,18.58300869,5.879736121,M2
Erebidae,CA_LYM07,6,1956,470,1213,1486,9.98,6.97,0.004346667,42.8,0.4,42.4,23.99,14.75,9.24,19.85,Malaysia,22.94568273,17.44220886,19.73387652,5.50347387,M2
Nolidae,CA_NOL-trilineata,14,1956,470,1213,1486,10.56615385,9.531428571,0.006649286,44.43333333,1.4,43.03333333,23.99,14.75,9.24,19.85,Malaysia,22.94568273,17.44220886,19.73387652,5.50347387,M2
Noctuidae,CA_LYM10-3,3,903,796,849.5,107,12.045,10.21666667,0.00695,41.5,1.2,40.3,24.49,15.39,9.1,20.45,Malaysia,24.53232066,19.53837455,21.63066074,4.993946107,M1
Erebidae,Hypersypnoides formosensis,9,2727,1644,2185.5,1083,22.68333333,18.39888889,0.069566667,42.2,1.1,41.1,21.52,3.78,17.74,14.04,Taiwan,19.82741919,13.8414956,16.08481402,5.985923588,T2
Endromidae,Comparmustilia gerontica,28,2300,544,1422,1756,26.8784,21.20392857,0.170293462,40.07272727,2.92,37.15272727,24.33,6.02,18.31,16.56,Taiwan,25.23315488,17.67900067,20.54298881,7.554154208,T2
Geometridae,Heterostegania lunulosa,2,1995,1995,1995,0,20.27,17.24,0.02765,40.8,4.2,36.6,21.3,4.15,17.15,14.02,Taiwan,20.93125736,14.73246778,17.15243096,6.198789586,T2
Nolidae,Nola sp. 1,24,1995,1995,1995,0,9.243478261,7.28125,0.0049,40.73636364,-0.3375,41.07386364,21.3,4.15,17.15,14.02,Taiwan,20.93125736,14.73246778,17.15243096,6.198789586,T2
Geometridae,Opisthograptis moelleri,4,1995,1995,1995,0,26.65,19.675,0.042725,40,-0.7,40.7,21.3,4.15,17.15,14.02,Taiwan,20.93125736,14.73246778,17.15243096,6.198789586,T2
Geometridae,Abraxas persimplex,57,2374,1110,1742,1264,19.84509091,13.09854545,0.013066038,41.4,-0.8,42.2,24.24,6.62,17.63,16.88,Taiwan,22.36849323,15.92888911,18.47781465,6.439604126,T2
Geometridae,Abraxas placata,15,2421,1734,2077.5,687,20.46333333,12.78076923,0.013969231,35.8,0.7,35.1,21.25,3.54,17.71,13.81,Taiwan,20.88659091,14.00734932,16.7578299,6.879241582,T2
Erebidae,Spilosoma fumida,16,2421,1734,2077.5,687,21.4575,16.3825,0.061766667,36.33333333,6.666666667,29.66666667,21.25,3.54,17.71,13.81,Taiwan,20.88659091,14.00734932,16.7578299,6.879241582,T2
Geometridae,Abraxas submartiaria,44,2374,1995,2184.5,379,25.54340909,15.56285714,0.027364286,39.83888889,0.236363636,39.60252525,21.52,3.78,17.74,14.04,Taiwan,19.82779293,13.83974794,16.0857436,5.988044987,T2
Drepanidae,Habrosyne indica formosana,19,2374,1995,2184.5,379,21.09421053,17.76315789,0.041152632,38.1,2.233333333,35.86666667,21.52,3.78,17.74,14.04,Taiwan,19.82779293,13.83974794,16.0857436,5.988044987,T2
Lasiocampidae,Kunugia undans metanastroides,47,2374,1995,2184.5,379,26.47913043,22.75195652,0.107982609,40.74230769,1.785714286,38.95659341,21.52,3.78,17.74,14.04,Taiwan,19.82779293,13.83974794,16.0857436,5.988044987,T2
Geometridae,Ourapteryx taiwana,18,2374,1995,2184.5,379,30.46277778,19.39222222,0.0544,39.75,1.966666667,37.78333333,21.52,3.78,17.74,14.04,Taiwan,19.82779293,13.83974794,16.0857436,5.988044987,T2
Geometridae,Pseudomiza aurata,18,2374,1995,2184.5,379,20.55166667,15.22277778,0.025477778,38.50833333,2.683333333,35.825,21.52,3.78,17.74,14.04,Taiwan,19.82779293,13.83974794,16.0857436,5.988044987,T2
Geometridae,Abraxas tenellula,37,2374,876,1625,1498,19.86594595,13.09285714,0.014257576,39.1,-0.35,39.45,24.85,6.32,18.53,16.92,Taiwan,22.9280962,15.83064397,18.68320067,7.097452232,T2
Erebidae,Euproctis purpureofasciata,124,2350,900,1625,1450,14.0137069,9.782184874,0.012748305,42.02580645,-0.13030303,42.15610948,24.85,6.32,18.53,16.92,Taiwan,22.9280962,15.83064397,18.68320067,7.097452232,T2
Geometridae,Gasterocome pannosaria orta,40,2374,876,1625,1498,19.23394737,15.78871795,0.031284615,42.925,-0.157142857,43.08214286,24.85,6.32,18.53,16.92,Taiwan,22.9280962,15.83064397,18.68320067,7.097452232,T2
Notodontidae,Syntypistis comatus,30,2350,900,1625,1450,24.21518519,22.03142857,0.09985,41.11111111,2.466666667,38.64444444,24.85,6.32,18.53,16.92,Taiwan,22.9280962,15.83064397,18.68320067,7.097452232,T2
Geometridae,Abraxas tenuisuffusa,19,1734,1511,1622.5,223,19.52368421,12.50266667,0.013585714,42.1,2.75,39.35,24.86,6.33,18.53,16.94,Taiwan,22.9234604,15.83697047,18.68832281,7.086489938,T2
Bombycidae,Triuncina brunnea,19,1734,1511,1622.5,223,15.688,14.41611111,0.036442857,42.8,2.666666667,40.13333333,24.86,6.33,18.53,16.94,Taiwan,22.9234604,15.83697047,18.68832281,7.086489938,T2
Erebidae,Ganhara sp.,16,1644,1644,1644,0,13.17,9.10125,0.0099,41.31666667,-0.4625,41.77916667,24.77,6.24,18.53,16.84,Taiwan,22.96332827,15.7825626,18.64427241,7.180765672,T2
Endromidae,Prismosticta fenestrata,13,2039,1255,1647,784,18.46769231,15.63307692,0.049746154,36.7,-1.2,37.9,24.76,6.23,18.53,16.83,Taiwan,22.96889123,15.7749708,18.63812584,7.193920426,T2
Erebidae,Stigmatophora karenkonis,30,2039,1255,1647,784,14.82214286,11.98966667,0.010960714,42.05,-1.45,43.5,24.76,6.23,18.53,16.83,Taiwan,22.96889123,15.7749708,18.63812584,7.193920426,T2
Notodontidae,Allodontoides tenebrosa,2,900,900,900,0,25.79,24.3,0.1379,47.4,8.9,38.5,27.2,9.36,17.84,19.76,Taiwan,29.48425925,19.57116664,23.36182316,9.913092606,T1
Noctuidae,Amyna punctum,6,900,900,900,0,16.71333333,14.47166667,0.100416667,47.3,2.56,44.74,27.2,9.36,17.84,19.76,Taiwan,29.48425925,19.57116664,23.36182316,9.913092606,T1
Erebidae,Euproctis nigricauda,7,900,900,900,0,22.36142857,18.53428571,0.097557143,44.85,7.2,37.65,27.2,9.36,17.84,19.76,Taiwan,29.48425925,19.57116664,23.36182316,9.913092606,T1
Geometridae,Pelagodes antiquadraria,3,900,900,900,0,17.21666667,10.78666667,0.0095,46.1,1.15,44.95,27.2,9.36,17.84,19.76,Taiwan,29.48425925,19.57116664,23.36182316,9.913092606,T1
Thyrididae,Pyrinioides sinuosus,5,900,900,900,0,13.194,8.97,0.01474,43.5,3.15,40.35,27.2,9.36,17.84,19.76,Taiwan,29.48425925,19.57116664,23.36182316,9.913092606,T1
Pyralidae,Salma sp. 1,9,900,900,900,0,11.93888889,11.35,0.0169875,44,2.066666667,41.93333333,27.2,9.36,17.84,19.76,Taiwan,29.48425925,19.57116664,23.36182316,9.913092606,T1
Erebidae,Asota tortuosa,38,2039,1644,1841.5,395,34.71666667,22.96,0.111436111,42.02777778,4.305555556,37.72222222,24.96,6.55,18.41,17.06,Taiwan,21.67055187,15.38170805,17.98276886,6.288843823,T2
Erebidae,Ghoria subpurpurea,10,2039,1644,1841.5,395,16.972,13.318,0.01226,40.05,0.2,39.85,24.96,6.55,18.41,17.06,Taiwan,21.67055187,15.38170805,17.98276886,6.288843823,T2
Erebidae,Aglaomorpha histrio formosana,14,1644,876,1260,768,41.00153846,28.44642857,0.25535,43.56666667,6.5,37.06666667,25.15,7.16,17.99,17.62,Taiwan,26.58781604,18.20306348,21.34647559,8.384752556,T1
Erebidae,Lymantria sugii,29,1644,876,1260,768,21.52571429,19.19482759,0.060782143,48,4.65,43.35,25.15,7.16,17.99,17.62,Taiwan,26.58781604,18.20306348,21.34647559,8.384752556,T1
Drepanidae,Tridrepana arikana,8,1644,876,1260,768,16.06375,10.365,0.010875,41.2,-0.2,41.4,25.15,7.16,17.99,17.62,Taiwan,26.58781604,18.20306348,21.34647559,8.384752556,T1
Erebidae,Bastilla acuta acuta,2,2993,2993,2993,0,28.295,19.37,0.0956,46.5,3.7,42.8,16.58,-1.7,18.28,8.67,Taiwan,14.27839627,8.098200467,10.81728224,6.180195804,T3
Erebidae,Catocala shirozui,5,2993,2993,2993,0,36.93,27.928,0.2234,37,1.675,35.325,16.58,-1.7,18.28,8.67,Taiwan,14.27839627,8.098200467,10.81728224,6.180195804,T3
Noctuidae,Agrotis taiwana,12,3140,1255,2197.5,1885,18.78818182,16.87583333,0.06465,38.2,0.9,37.3,21.47,3.73,17.74,13.99,Taiwan,19.82293435,13.86246754,16.07365904,5.960466798,T2
Erebidae,Cyana sp. 1,185,3140,1255,2197.5,1885,17.56028571,12.87967391,0.019361202,40.5,2.64,37.86,21.47,3.73,17.74,13.99,Taiwan,19.82293435,13.86246754,16.07365904,5.960466798,T2
Erebidae,Agylla pulchristriata,17,2993,2350,2671.5,643,23.814375,14.59117647,0.0458,39.55,0.875,38.675,17.84,0.57,17.27,10.5,Taiwan,17.61704433,9.975384423,13.04052144,7.641659905,T3
Noctuidae,Sineugraphe elkalandozta,14,2421,1995,2208,426,22.23071429,19.06214286,0.071792857,40.4375,2.64,37.7975,21.43,3.68,17.75,13.94,Taiwan,19.8190101,13.88081799,16.06389843,5.938192107,T3
Noctuidae,Amphipyra formosana,16,2993,1995,2494,998,26.930625,21.208125,0.174153846,41.16666667,1.166666667,40,20.19,2.19,18,12.51,Taiwan,18.78664036,11.55368044,14.45889261,7.232959912,T3
Noctuidae,Discibocome pulchra,20,2993,1995,2494,998,16.8835,13.41,0.040731579,41.25,0.57,40.68,20.19,2.19,18,12.51,Taiwan,18.78664036,11.55368044,14.45889261,7.232959912,T3
Noctuidae,Leucapamea formosensis,11,2993,1995,2494,998,19.30272727,16.06272727,0.068811111,40.65,-0.2,40.85,20.19,2.19,18,12.51,Taiwan,18.78664036,11.55368044,14.45889261,7.232959912,T3
Noctuidae,Olivenebula oberthueri,21,2993,1995,2494,998,20.1047619,17.32190476,0.050452632,40.06,1.1,38.96,20.19,2.19,18,12.51,Taiwan,18.78664036,11.55368044,14.45889261,7.232959912,T3
Noctuidae,Panthea grisea,8,2993,1995,2494,998,19.5175,16.19,0.06608,40.7,2.866666667,37.83333333,20.19,2.19,18,12.51,Taiwan,18.78664036,11.55368044,14.45889261,7.232959912,T3
Noctuidae,Peridroma saucia,8,2993,1995,2494,998,20.425,17.60875,0.054425,36.4,-0.2,36.6,20.19,2.19,18,12.51,Taiwan,18.78664036,11.55368044,14.45889261,7.232959912,T3
